timestep,consumption_eur
2008-12-15,90001.5
2008-12-16,91208.16666666667
2008-12-17,92018.5
2008-12-18,92750.45833333333
2008-12-19,93171.41666666667
2008-12-20,88892.75
2008-12-21,87554.41666666667
2008-12-22,94093.45833333333
2008-12-23,94099.54166666667
2008-12-24,95119.75
2008-12-25,94820.91666666667
2008-12-26,94617.16666666667
2008-12-27,90321.875
2008-12-28,89165.45833333333
2008-12-29,94485.16666666667
2008-12-30,91579.58333333333
2008-12-31,88215.70833333333
2009-01-01,81361.79166666667
2009-01-02,83016.70833333333
2009-01-03,84222.79166666667
2009-01-04,85182.91666666667
2009-01-05,85756.58333333333
2009-01-06,85823.29166666667
2009-01-07,85287.08333333333
2009-01-08,86441.75
2009-01-09,86866.91666666667
2009-01-10,86540.54166666667
2009-01-11,91330.5
2009-01-12,91861.20833333333
2009-01-13,92326.41666666667
2009-01-14,92311.54166666667
2009-01-15,91325.58333333333
2009-01-16,90295.79166666667
2009-01-17,86251.29166666667
2009-01-18,84901.5
2009-01-19,91109.20833333333
2009-01-20,91423.75
2009-01-21,91753.0
2009-01-22,91967.29166666667
2009-01-23,91123.16666666667
2009-01-24,86560.83333333333
2009-01-25,85012.375
2009-01-26,90609.58333333333
2009-01-27,90781.08333333333
2009-01-28,90207.66666666667
2009-01-29,90343.66666666667
2009-01-30,90398.75
2009-01-31,87188.08333333333
2009-02-01,86317.54166666667
2009-02-02,91763.375
2009-02-03,92338.20833333333
2009-02-04,92676.20833333333
2009-02-05,92330.29166666667
2009-02-06,92715.25
2009-02-07,88201.95833333333
2009-02-08,86797.95833333333
2009-02-09,92007.95833333333
2009-02-10,91469.66666666667
2009-02-11,91314.58333333333
2009-02-12,91306.125
2009-02-13,90550.625
2009-02-14,85681.625
2009-02-15,84578.08333333333
2009-02-16,89823.125
2009-02-17,89788.70833333333
2009-02-18,89907.41666666667
2009-02-19,89892.5
2009-02-20,89188.04166666667
2009-02-21,85732.45833333333
2009-02-22,84690.20833333333
2009-02-23,84869.33333333333
2009-02-24,90094.41666666667
2009-02-25,90395.95833333333
2009-02-26,89927.375
2009-02-27,89640.375
2009-02-28,84847.41666666667
2009-03-01,83963.83333333333
2009-03-02,92469.30012833333
2009-03-03,88976.41666666667
2009-03-04,91562.98599916667
2009-03-05,91007.64778333333
2009-03-06,90338.27864208333
2009-03-07,85474.52245666667
2009-03-08,84048.59700166667
2009-03-09,84500.95442375001
2009-03-10,89175.69498333333
2009-03-11,89807.8509075
2009-03-12,89610.26627124999
2009-03-13,88874.61099875001
2009-03-14,84851.33040041667
2009-03-15,83809.11588166667
2009-03-16,89259.12694958334
2009-03-17,89315.75325250001
2009-03-18,89238.43131208332
2009-03-19,88622.1448525
2009-03-20,87691.99771708333
2009-03-21,84015.24706666666
2009-03-22,82812.91763875
2009-03-23,88021.40592125
2009-03-24,87955.38899374999
2009-03-25,87416.43163666666
2009-03-26,87578.98827791667
2009-03-27,86738.2851525
2009-03-28,82269.54914999999
2009-03-29,81044.24315958333
2009-03-30,85679.45181916667
2009-03-31,84246.04524333334
2009-04-01,84483.13671541667
2009-04-02,83531.37304375
2009-04-03,83462.64224875001
2009-04-04,79102.37271750001
2009-04-05,78172.3287725
2009-04-06,83206.404945
2009-04-07,83585.70442291668
2009-04-08,84005.17382458334
2009-04-09,84400.46842083333
2009-04-10,83685.27668916667
2009-04-11,79420.18847333333
2009-04-12,77958.47200083334
2009-04-13,83707.51659708333
2009-04-14,83174.48404583333
2009-04-15,82536.28482791666
2009-04-16,82453.39387583332
2009-04-17,81912.570635
2009-04-18,78293.72493124999
2009-04-19,77017.51106416667
2009-04-20,82406.61620875
2009-04-21,82302.67708000001
2009-04-22,82346.41926625
2009-04-23,82276.90884999999
2009-04-24,81906.78743083334
2009-04-25,77070.26041333332
2009-04-26,74986.82747083333
2009-04-27,80150.44010041667
2009-04-28,79012.05207833333
2009-04-29,78015.97135083334
2009-04-30,76122.84049125
2009-05-01,70345.13150624999
2009-05-02,70286.17480208333
2009-05-03,70570.87434583333
2009-05-04,74659.64094625
2009-05-05,74232.45507541667
2009-05-06,73291.15364208333
2009-05-07,73210.56510041667
2009-05-08,71801.72786125001
2009-05-09,67460.35709208333
2009-05-10,66988.95474875001
2009-05-11,67401.77375875
2009-05-12,72049.35237291666
2009-05-13,72343.57909833333
2009-05-14,73090.56933291667
2009-05-15,73064.33756125001
2009-05-16,68590.33284
2009-05-17,67645.68098625001
2009-05-18,73300.49316041666
